City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bubaque,0,GW,1551281505,70,11.28,-15.83,30.86,5.71
At-Bashi,20,KG,1551281506,65,41.17,75.81,-15.47,1.03
Duncan,90,US,1551281431,100,34.5,-97.96,2.78,9.8
Sitka,88,US,1551281436,79,37.17,-99.65,-10.57,6.26
Baker City,90,US,1551281211,92,44.77,-117.83,-0.57,1.5
Sarahan,68,IN,1551281507,94,31.51,77.79,-14.55,0.61
Manokwari,92,ID,1551281507,99,-0.87,134.08,26.91,3.06
Mocuba,0,MZ,1551281507,41,-16.84,36.99,34.63,3.08
Cartagena,0,ES,1551280757,42,37.63,-1.0,23.33,4.6
Marzuq,0,YE,1551281507,26,14.4,46.47,23.91,3.68
Comodoro Rivadavia,0,AR,1551279600,48,-45.87,-67.48,16.0,2.1
Pangnirtung,5,CA,1551279600,48,66.15,-65.72,-21.0,1.0
Atar,0,MR,1551279600,10,20.52,-13.05,28.0,11.3
Fort Nelson,20,CA,1551279600,84,58.81,-122.69,-16.0,0.98
Aklavik,5,CA,1551279600,84,68.22,-135.01,-14.0,2.6
Bani,0,PH,1551281509,90,15.89,120.27,23.83,1.06
Troitsko-Pechorsk,24,RU,1551281509,60,62.71,56.19,-17.37,1.58
Kautokeino,88,NO,1551281490,89,69.01,23.04,-2.15,4.48
Dodge City,90,US,1551281135,71,37.75,-100.02,-11.11,10.8
Kaduna,8,NG,1551281288,48,10.52,7.44,33.03,2.16
Pouebo,0,NC,1551281510,85,-20.4,164.57,23.78,5.03
Okha,0,RU,1551281324,75,53.59,142.95,-12.42,5.31
Fukue,75,JP,1551281465,53,35.03,136.69,12.22,2.1
Praia da Vitoria,20,PT,1551280579,56,38.73,-27.07,21.0,4.76
Mahibadhoo,36,MV,1551281511,100,3.78,72.97,28.25,1.78
Avera,75,US,1551281469,82,33.19,-82.53,18.33,1.5
Isangel,68,VU,1551281511,100,-19.55,169.27,26.61,8.98
Launceston,0,AU,1551281437,81,-41.43,147.14,11.67,2.6
Vaasa,68,FI,1551281476,69,63.1,21.62,5.56,7.7
Urucara,36,BR,1551281512,78,-2.54,-57.76,27.78,1.83
Barra do Garcas,75,BR,1551279600,70,-15.89,-52.26,30.0,4.98
Canora,90,CA,1551280140,71,51.64,-102.43,-14.0,7.2
Cabangahan,20,PH,1551279600,69,10.4,123.92,26.0,4.1
Miri,48,NG,1551281513,46,10.31,9.75,30.46,2.56
Nyurba,76,RU,1551281513,73,63.29,118.35,-9.35,3.03
Makakilo City,20,US,1551281172,68,21.35,-158.09,21.0,3.6
Bontang,0,ID,1551281514,88,0.12,117.47,28.58,6.91
Aksu,0,KZ,1551279600,92,52.04,76.93,-7.0,4.0
Tiarei,80,PF,1551280987,74,-17.53,-149.33,26.0,2.1
Lujan,0,AR,1551281516,38,-46.57,-67.67,16.25,4.71
Bar Harbor,20,US,1551281297,38,44.39,-68.2,-11.67,9.8
Lasa,75,CY,1551281413,58,34.92,32.53,15.0,9.3
Norfolk,75,US,1551281360,76,36.85,-76.29,9.44,4.6
Kiruna,0,SE,1551279000,86,67.86,20.23,1.0,2.6
General Roca,0,AR,1551276000,25,-39.03,-67.58,23.0,3.6
Husavik,24,CA,1551281405,76,50.56,-96.99,-18.89,2.24
Ardmore,75,US,1551281464,76,34.99,-86.85,15.56,1.36
Kang,0,BW,1551281538,15,-23.67,22.79,36.91,3.41
Sao Joao da Barra,0,BR,1551279600,52,-21.64,-41.05,31.0,3.1
Lazurne,44,UA,1551281538,80,46.77,34.99,2.75,4.81
Svirstroy,88,RU,1551281538,89,60.8,33.72,0.23,5.53
Eston,20,CA,1551281346,64,51.15,-108.75,-18.33,5.7
Amberley,0,NZ,1551281478,81,-43.15,172.73,9.0,2.1
Buraydah,75,SA,1551279600,40,26.33,43.97,20.0,5.1
Poum,75,MK,1551279600,33,41.28,20.71,7.0,6.2
Yelatma,76,RU,1551281539,84,54.97,41.75,-5.17,2.81
Port Macquarie,92,AU,1551281045,88,-31.43,152.91,18.89,2.33
Camocim,92,BR,1551281540,100,-2.9,-40.84,26.66,1.81
Mutsu,56,JP,1551281410,58,41.29,141.2,-0.57,0.89
Nizhniy Kuranakh,68,RU,1551281540,64,58.84,125.49,-10.13,2.83
Samoylovka,80,RU,1551279808,90,51.19,43.71,0.56,0.89
Katsuura,90,JP,1551280339,65,33.93,134.5,8.0,2.1
Berlevag,75,NO,1551279000,62,70.86,29.09,-4.0,9.8
Srednekolymsk,64,RU,1551281542,69,67.46,153.71,-23.5,2.41
Preobrazheniye,80,RU,1551281542,82,42.9,133.91,-4.75,1.03
Pochutla,5,MX,1551281497,51,15.74,-96.47,31.11,2.38
Grindavik,0,IS,1551279600,81,63.84,-22.43,7.0,9.3
Tikamgarh,56,IN,1551281542,56,24.74,78.83,17.83,2.73
Muros,40,ES,1551281490,66,42.77,-9.06,16.11,5.7
Aasiaat,0,GL,1551281543,93,68.71,-52.87,-7.6,9.21
Whitianga,0,NZ,1551281412,89,-36.83,175.7,15.56,6.28
Buala,68,SB,1551281544,90,-8.15,159.59,27.41,2.68
Joshimath,56,IN,1551281544,85,30.57,79.57,-15.3,0.31
Niceville,90,US,1551281525,100,30.52,-86.48,17.78,1.5
Kiama,90,AU,1551281527,72,-34.67,150.86,21.67,2.6
Parabel,92,RU,1551281545,85,58.71,81.5,-6.52,3.06
Maxixe,20,MZ,1551279600,74,-23.86,35.35,30.0,5.1
Kelcyre,8,AL,1551281545,70,40.31,20.19,3.28,1.01
Paka,0,HR,1551279600,49,45.29,18.06,12.0,5.1
Mount Gambier,8,AU,1551279600,68,-37.83,140.78,18.0,2.6
Vidim,0,CZ,1551281524,31,50.47,14.53,16.67,1.5
Tual,44,ID,1551281547,100,-5.67,132.75,28.28,1.93
Praxedis Guerrero,90,MX,1551281495,29,31.37,-106.02,12.78,1.5
Tecpan,20,GT,1551281525,59,14.76,-90.99,18.0,8.2
Shashi,92,CN,1551281569,99,27.02,114.08,7.33,1.11
Coahuayana,0,MX,1551281569,46,18.62,-100.35,21.75,1.13
Mairwa,32,IN,1551281384,81,26.24,84.15,16.75,3.48
Glyadyanskoye,80,RU,1551281570,88,54.91,65.09,-10.67,3.96
Timbuktu,0,ML,1551281570,19,16.77,-3.01,26.28,6.08
Manavalakurichi,40,IN,1551279600,66,8.13,77.3,30.0,3.6
Dunedin,36,NZ,1551281140,71,-45.87,170.5,8.89,8.94
Bucarasica,40,CO,1551279600,78,8.04,-72.87,26.0,3.6
Ixtapa,5,MX,1551281435,68,20.71,-105.21,23.33,3.1
Malamig,64,PH,1551281571,94,12.95,121.37,21.91,2.51
Puro,0,PH,1551281571,84,13.13,123.76,22.86,3.76
Grants,90,US,1551279300,80,35.15,-107.85,-1.0,6.2
Robore,90,BO,1551279600,100,-18.33,-59.76,21.0,3.61
Filingue,0,NE,1551281572,15,14.35,3.32,35.03,3.93
Erzin,40,TR,1551281467,51,36.95,36.2,15.0,7.7
Wilmington,56,US,1551281545,42,39.75,-75.55,-0.57,1.5
Tadine,76,NC,1551281573,98,-21.55,167.88,25.86,11.23
Pangody,0,RU,1551281574,74,65.85,74.49,-24.37,6.86
Rome,0,IT,1551280932,16,41.89,12.48,22.0,4.58
Fenoarivo,40,MG,1551279600,73,-18.93,47.44,24.0,4.6
Mackay,20,CA,1551279600,77,53.65,-115.58,-16.0,4.6
Killybegs,20,IE,1551281523,87,54.63,-8.45,10.0,2.6
Kurush,90,RU,1551279600,93,41.28,47.83,4.0,3.1
Thai Binh,75,VN,1551279600,94,20.45,106.33,22.0,1.0
Mount Isa,0,AU,1551279600,50,-20.73,139.49,26.0,3.1
Uvinza,56,TZ,1551281575,95,-5.1,30.39,18.83,1.28
Svobodnyy,80,RU,1551281341,60,53.85,40.53,-2.78,0.89
Crossville,1,US,1551281514,71,35.95,-85.03,13.89,1.5
Shunyi,0,CN,1551281563,58,40.13,116.65,7.22,1.0
Guerrero Negro,92,MX,1551281576,94,27.97,-114.04,12.83,3.06
Sayyan,76,YE,1551281353,20,15.17,44.32,22.48,0.88
Korcula,20,HR,1551279600,26,42.96,17.14,14.0,8.2
San Cristobal,40,EC,1551281494,63,-0.39,-78.55,19.0,3.1
Egvekinot,68,RU,1551281577,87,66.32,-179.17,-5.63,3.71
Visby,0,SE,1551281403,65,57.64,18.3,10.56,2.6
Wanning,0,AT,1551281569,41,48.64,13.53,15.56,1.0
Storslett,75,NO,1551280800,74,69.77,21.03,1.0,7.2
Crateus,68,BR,1551281579,94,-5.18,-40.68,27.0,2.01
Bereda,20,ES,1551281339,59,43.27,-7.54,16.0,6.7
Koulamoutou,88,GA,1551281582,89,-1.13,12.47,25.25,1.43
Barra,20,BR,1551281583,76,-11.09,-43.14,28.88,1.96
Kungurtug,0,RU,1551281583,53,50.6,97.53,-20.47,1.06
Anzio,0,IT,1551281524,27,41.45,12.63,22.0,4.6
Beyneu,56,KZ,1551281584,74,45.32,55.19,0.5,1.81
Santona,0,ES,1551281472,72,43.44,-3.46,24.44,6.2
Palana,68,RU,1551281584,66,59.08,159.95,-20.75,1.06
Hambantota,75,LK,1551280200,100,6.12,81.12,25.0,2.1
Parakou,8,BJ,1551281585,28,9.34,2.63,36.33,2.68
Shaikhpura,68,IN,1551281585,70,25.14,85.84,20.23,1.91
Russell,0,AR,1551279600,53,-33.01,-68.8,23.0,3.6
Sidi Ali,0,DZ,1551281586,70,36.1,0.42,15.16,1.66
Kargasok,92,RU,1551281586,85,59.06,80.87,-6.55,2.68
Archidona,75,EC,1551279600,94,-0.91,-77.81,25.0,1.5
San Pedro,0,AR,1551280983,45,-33.68,-59.66,25.0,0.89
Lichuan,32,CN,1551281589,89,30.3,108.94,0.0,0.98
Umba,92,RU,1551281589,91,66.69,34.34,0.61,2.36
Kirovsk,88,RU,1551281590,92,67.62,33.66,-2.5,1.03
Biltine,68,TD,1551281590,23,14.53,20.93,34.88,4.26
Chimbote,0,PE,1551281590,79,-9.08,-78.59,24.58,1.28
Shenjiamen,92,CN,1551281591,99,29.96,122.3,8.98,7.18
Daru,0,SL,1551281592,16,7.99,-10.85,37.23,2.18
Plattsburgh,1,US,1551281562,45,44.69,-73.46,-13.33,1.38
Muncar,12,ID,1551281592,96,-8.43,114.34,27.03,1.16
Plouzane,0,FR,1551281224,45,48.38,-4.62,22.0,5.1
Pacific Grove,75,US,1551281354,82,36.62,-121.92,14.44,6.2
Ban Phai,40,TH,1551279600,74,16.55,102.46,27.0,2.6
Kristiansund,75,NO,1551280800,81,63.12,7.73,6.0,8.2
Nelson Bay,0,AU,1551281523,88,-32.72,152.14,20.56,3.16
Umm Kaddadah,8,SD,1551281593,15,13.6,26.69,33.63,6.23
Varna,75,BG,1551279600,60,43.22,27.9,5.0,5.1
Tawang,36,BT,1551281597,60,27.59,91.87,-1.17,0.78
Sechura,0,PE,1551281606,73,-5.56,-80.82,26.75,0.83
Melilla,40,EC,1551279600,83,-0.8,-80.23,27.0,2.1
West Plains,90,US,1551281573,76,36.73,-91.85,12.22,2.6
Kologriv,12,RU,1551281607,66,58.83,44.31,-11.15,2.16
Xalpatlahuac,0,MX,1551281607,70,17.47,-98.62,17.13,1.01
Itarema,92,BR,1551281608,100,-2.92,-39.92,27.08,1.81
Dillon,90,US,1551281528,77,45.22,-112.64,-16.67,1.48
Kanata,75,CA,1551281416,59,45.32,-75.9,-13.89,1.5
